1	d2h2	caware	128	constr.	5.30628
1	d2h2	caware	128	correct	1439.01
1	d2h2	caware	128	total.t	1445.21
2	d2h2	caware	128	constr.	4.94059
2	d2h2	caware	128	correct	1436.38
2	d2h2	caware	128	total.t	1447.05
3	d2h2	caware	128	constr.	5.18777
3	d2h2	caware	128	correct	1424.15
3	d2h2	caware	128	total.t	1432.05
4	d2h2	caware	128	constr.	5.34048
4	d2h2	caware	128	correct	1341.71
4	d2h2	caware	128	total.t	1349.51
5	d2h2	caware	128	constr.	4.62136
5	d2h2	caware	128	correct	1311.49
5	d2h2	caware	128	total.t	1317.09
6	d2h2	caware	128	constr.	5.08438
6	d2h2	caware	128	correct	1341.24
6	d2h2	caware	128	total.t	1348.32
1	d2h2	caware	256	constr.	7.61944
1	d2h2	caware	256	correct	813.984
1	d2h2	caware	256	total.t	822.463
2	d2h2	caware	256	constr.	6.37734
2	d2h2	caware	256	correct	814.75
2	d2h2	caware	256	total.t	822.961
3	d2h2	caware	256	constr.	6.36048
3	d2h2	caware	256	correct	806.857
3	d2h2	caware	256	total.t	814.011
4	d2h2	caware	256	constr.	6.93351
4	d2h2	caware	256	correct	738.444
4	d2h2	caware	256	total.t	746.483
5	d2h2	caware	256	constr.	6.04079
5	d2h2	caware	256	correct	739.273
5	d2h2	caware	256	total.t	805.327
6	d2h2	caware	256	constr.	6.35573
6	d2h2	caware	256	correct	740.194
6	d2h2	caware	256	total.t	747.548
1	d2h2	caware	512	constr.	15.2156
1	d2h2	caware	512	correct	422.92
1	d2h2	caware	512	total.t	439.418
2	d2h2	caware	512	constr.	12.9585
2	d2h2	caware	512	correct	417.902
2	d2h2	caware	512	total.t	431.336
3	d2h2	caware	512	constr.	12.7324
3	d2h2	caware	512	correct	414.301
3	d2h2	caware	512	total.t	428.276
4	d2h2	caware	512	constr.	14.6069
4	d2h2	caware	512	correct	379.71
4	d2h2	caware	512	total.t	396.572
5	d2h2	caware	512	constr.	16.5103
5	d2h2	caware	512	correct	381.303
5	d2h2	caware	512	total.t	399.574
6	d2h2	caware	512	constr.	13.0642
6	d2h2	caware	512	correct	378.775
6	d2h2	caware	512	total.t	393.202
1	d2h2	cobliv	128	constr.	5.20477
1	d2h2	cobliv	128	correct	1759.34
1	d2h2	cobliv	128	total.t	1765.51
2	d2h2	cobliv	128	constr.	5.06007
2	d2h2	cobliv	128	correct	1743.59
2	d2h2	cobliv	128	total.t	1752.5
3	d2h2	cobliv	128	constr.	4.87607
3	d2h2	cobliv	128	correct	1773.61
3	d2h2	cobliv	128	total.t	1781.36
4	d2h2	cobliv	128	constr.	5.34428
4	d2h2	cobliv	128	correct	1878.78
4	d2h2	cobliv	128	total.t	1887.26
5	d2h2	cobliv	128	constr.	5.21801
5	d2h2	cobliv	128	correct	1872.2
5	d2h2	cobliv	128	total.t	1880.21
6	d2h2	cobliv	128	constr.	5.23493
6	d2h2	cobliv	128	correct	1872.58
6	d2h2	cobliv	128	total.t	1880.14
1	d2h2	cobliv	256	constr.	6.76001
1	d2h2	cobliv	256	correct	988.621
1	d2h2	cobliv	256	total.t	998.046
2	d2h2	cobliv	256	constr.	6.46626
2	d2h2	cobliv	256	correct	989.851
2	d2h2	cobliv	256	total.t	997.001
3	d2h2	cobliv	256	constr.	7.08734
3	d2h2	cobliv	256	correct	992.689
